Time,Event Status,Is-Ready Power Status,Is-Charging Power Status,Multi-Purpose Input Status,Always-On Power Status,Errors Present,Charge-Enable Output Active,Discharge-Enable Output Active,Charger-Safety Output Active,HEM mode,Maximum cell number,Pack charge current limit,Pack discharge current limit,Pack amperage (current),Pack voltage,Pack open voltage,Pack state of charge,Pack amphours,Pack resistance,Pack depth of discharge,Pack state of health,Summed pack voltage,Total pack cycles,DCL Reduced Due To SOC,DCL Reduced Due To Cell Resistance,DCL Reduced Due To Temperature,DCL Reduced Due To Cell Voltage,DCL Reduced Due To Pack Voltage,Reduced Due To Voltage Failsafe,Multi-Unit Comm Failsafe,CCL Reduced Due To SOC,CCL Reduced Due To Cell Resistance,CCL Reduced Due To Temperature,CCL Reduced Due To Cell Voltage,CCL Reduced Due To Pack Voltage,CCL Zero Because Charge Complete,Simulated pack SOC,Battery mode,Requested battery mode,TP ADC,Highest battery temperature,Lowest battery temperature,Average battery temperature,Actual fan speed (0-6),Requested fan speed (0-6),Highest thermistor ID,Lowest thermistor ID,Lowest cell voltage,Highest cell voltage,Average cell voltage,Lowest open cell voltage,Highest open cell voltage,Average open cell voltage,Lowest cell resistance,Highest cell resistance,Average cell resistance,Highest cell voltage ID,Lowest cell voltage ID,Highest opencell ID,Lowest opencell ID,Highest resistance ID,Lowest resistance ID,12v supply (lower than actual),Current sensor ADC #1,Current sensor ADC #2,Voltage from fan sensor,Shortest Wave (Isolation),Average Wave (Isolation)
Thu Aug 17 19:26:51 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,18.0,252.0,0.0,285.5,285.5,79.5,21.9,0.364,50.0,100.0,285.57,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,285.5,31.0,30.0,30.0,0.0,0.0,101.0,104.0,4.078,4.083,4.08,4.078,4.083,4.08,5.2,5.2,5.2,51.0,57.0,51.0,57.0,1.0,1.0,13.9,2051.0,2051.0,0.0,4.366,4.99
Thu Aug 17 19:26:52 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,18.0,252.0,0.0,285.5,285.5,79.5,21.9,0.364,50.0,100.0,285.57,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,285.5,31.0,30.0,30.0,0.0,0.0,101.0,104.0,4.078,4.083,4.08,4.078,4.083,4.08,5.2,5.2,5.2,51.0,57.0,51.0,57.0,1.0,1.0,13.9,2051.0,2051.0,0.0,4.568,4.964
Thu Aug 17 19:26:53 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,18.0,252.0,0.0,285.5,285.5,79.5,21.9,0.364,50.0,100.0,285.57,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,285.5,31.0,30.0,30.0,0.0,0.0,101.0,104.0,4.078,4.083,4.08,4.078,4.083,4.08,5.2,5.2,5.2,51.0,57.0,51.0,57.0,1.0,1.0,13.9,2051.0,2051.0,0.0,4.656,4.938
Thu Aug 17 19:26:54 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,18.0,252.0,0.0,285.5,285.5,79.5,21.9,0.364,50.0,100.0,285.57,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,285.5,31.0,30.0,30.0,0.0,0.0,101.0,104.0,4.078,4.083,4.08,4.078,4.083,4.08,5.2,5.2,5.2,51.0,57.0,51.0,57.0,1.0,1.0,13.9,2051.0,2051.0,0.0,4.693,4.912
Thu Aug 17 19:26:55 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,18.0,252.0,0.0,285.5,285.5,79.5,21.9,0.364,50.0,100.0,285.57,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,285.5,31.0,30.0,30.0,0.0,0.0,101.0,104.0,4.078,4.083,4.08,4.078,4.083,4.08,5.2,5.2,5.2,51.0,57.0,51.0,57.0,1.0,1.0,13.9,2051.0,2051.0,0.0,4.709,4.886
Thu Aug 17 19:26:56 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,18.0,252.0,0.0,285.5,285.5,79.5,21.9,0.364,50.0,100.0,285.57,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,285.5,31.0,30.0,30.0,0.0,0.0,101.0,104.0,4.079,4.083,4.08,4.078,4.083,4.08,5.2,5.2,5.2,51.0,57.0,51.0,57.0,1.0,1.0,13.9,2051.0,2051.0,0.0,4.709,4.886
Thu Aug 17 19:26:57 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,18.0,252.0,0.0,285.5,285.5,79.5,21.9,0.364,50.0,100.0,285.57,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,285.5,31.0,30.0,30.0,0.0,0.0,101.0,104.0,4.079,4.083,4.08,4.078,4.083,4.08,5.2,5.2,5.2,51.0,57.0,51.0,57.0,1.0,1.0,13.9,2051.0,2051.0,0.0,4.709,4.868
Thu Aug 17 19:26:58 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,18.0,252.0,0.0,285.5,285.5,79.5,21.9,0.364,50.0,100.0,285.57,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,285.5,31.0,30.0,30.0,0.0,0.0,101.0,104.0,4.079,4.083,4.08,4.078,4.083,4.08,5.2,5.2,5.2,51.0,57.0,51.0,57.0,1.0,1.0,13.9,2051.0,2051.0,0.0,5.0,4.868
Thu Aug 17 19:26:59 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,18.0,252.0,0.0,285.5,285.5,79.5,21.9,0.364,50.0,100.0,285.57,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,285.5,31.0,30.0,30.0,0.0,0.0,101.0,104.0,4.078,4.083,4.08,4.078,4.083,4.08,5.2,5.2,5.2,51.0,57.0,51.0,57.0,1.0,1.0,13.9,2051.0,2051.0,0.0,5.0,4.868
Thu Aug 17 19:27:00 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,18.0,252.0,0.0,285.5,285.5,79.5,21.9,0.364,50.0,100.0,285.57,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,285.5,31.0,30.0,30.0,0.0,0.0,101.0,104.0,4.079,4.083,4.08,4.078,4.083,4.08,5.2,5.2,5.2,51.0,57.0,51.0,57.0,1.0,1.0,13.9,2051.0,2051.0,0.0,5.0,4.868
