Time,Event Status,Is-Ready Power Status,Is-Charging Power Status,Multi-Purpose Input Status,Always-On Power Status,Errors Present,Charge-Enable Output Active,Discharge-Enable Output Active,Charger-Safety Output Active,HEM mode,Maximum cell number,Pack charge current limit,Pack discharge current limit,Pack amperage (current),Pack voltage,Pack open voltage,Pack state of charge,Pack amphours,Pack resistance,Pack depth of discharge,Pack state of health,Summed pack voltage,Total pack cycles,DCL Reduced Due To SOC,DCL Reduced Due To Cell Resistance,DCL Reduced Due To Temperature,DCL Reduced Due To Cell Voltage,DCL Reduced Due To Pack Voltage,Reduced Due To Voltage Failsafe,Multi-Unit Comm Failsafe,CCL Reduced Due To SOC,CCL Reduced Due To Cell Resistance,CCL Reduced Due To Temperature,CCL Reduced Due To Cell Voltage,CCL Reduced Due To Pack Voltage,CCL Zero Because Charge Complete,Simulated pack SOC,Battery mode,Requested battery mode,TP ADC,Highest battery temperature,Lowest battery temperature,Average battery temperature,Actual fan speed (0-6),Requested fan speed (0-6),Highest thermistor ID,Lowest thermistor ID,Lowest cell voltage,Highest cell voltage,Average cell voltage,Lowest open cell voltage,Highest open cell voltage,Average open cell voltage,Lowest cell resistance,Highest cell resistance,Average cell resistance,Highest cell voltage ID,Lowest cell voltage ID,Highest opencell ID,Lowest opencell ID,Highest resistance ID,Lowest resistance ID,12v supply (lower than actual),Current sensor ADC #1,Current sensor ADC #2,Voltage from fan sensor,Shortest Wave (Isolation),Average Wave (Isolation)
Fri Aug 18 21:44:02 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,315.0,0.0,278.4,278.5,88.5,24.4,0.143,11.0,100.0,278.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,278.3,30.0,27.0,28.0,0.0,0.0,140.0,111.0,3.973,3.98,3.978,3.972,3.98,3.978,1.66,3.36,2.05,68.0,57.0,30.0,57.0,43.0,5.0,13.3,2047.0,2050.0,0.0,4.579,3.672
Fri Aug 18 21:44:03 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,315.0,0.2,278.6,278.5,88.5,24.4,0.143,11.0,100.0,278.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,278.6,30.0,27.0,28.0,0.0,0.0,140.0,111.0,3.974,3.984,3.981,3.974,3.984,3.981,1.66,3.36,2.05,30.0,57.0,68.0,57.0,43.0,5.0,13.3,2059.0,2052.0,0.0,4.568,3.672
Fri Aug 18 21:44:04 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,315.0,25.7,275.1,278.8,88.5,24.4,0.143,11.0,100.0,275.34,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,274.7,30.0,27.0,28.0,0.0,0.0,140.0,111.0,3.885,3.947,3.927,3.952,3.996,3.983,1.66,3.36,2.05,56.0,57.0,68.0,57.0,43.0,5.0,13.5,2966.0,2189.0,0.0,4.568,3.672
Fri Aug 18 21:44:05 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,315.0,47.7,271.7,278.5,88.5,24.3,0.143,11.0,100.0,272.49,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,271.5,30.0,27.0,28.0,0.0,0.0,140.0,111.0,3.808,3.878,3.862,3.93,3.997,3.98,1.66,3.36,2.05,31.0,29.0,20.0,57.0,43.0,5.0,13.5,2966.0,2189.0,0.0,4.568,3.672
Fri Aug 18 21:44:06 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,315.0,11.4,276.4,278.2,88.5,24.3,0.143,11.0,100.0,278.13,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,278.2,30.0,27.0,28.0,0.0,0.0,140.0,111.0,3.97,3.979,3.977,3.964,3.982,3.973,1.68,3.28,2.0,31.0,29.0,20.0,57.0,43.0,5.0,13.5,2966.0,2189.0,0.0,4.568,3.672
Fri Aug 18 21:44:07 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,315.0,0.1,278.4,278.5,88.5,24.3,0.14,11.0,100.0,278.53,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,278.6,30.0,27.0,28.0,0.0,0.0,140.0,111.0,3.945,3.979,3.977,3.964,3.982,3.973,1.68,3.28,2.0,31.0,29.0,20.0,57.0,43.0,5.0,13.3,2055.0,2052.0,0.0,4.568,3.672
Fri Aug 18 21:44:08 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,315.0,5.7,278.0,278.7,88.5,24.3,0.14,11.0,100.0,278.76,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,274.2,30.0,27.0,28.0,0.0,0.0,140.0,111.0,3.945,3.979,3.977,3.964,3.982,3.98,1.68,3.28,2.0,68.0,25.0,21.0,20.0,43.0,5.0,13.3,2059.0,2052.0,0.0,4.568,3.672
Fri Aug 18 21:44:09 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,315.0,30.1,274.4,278.5,88.5,24.3,0.14,11.0,100.0,278.76,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,274.2,30.0,27.0,28.0,0.0,0.0,140.0,111.0,3.852,3.923,3.914,3.971,3.994,3.983,1.68,3.28,2.0,30.0,43.0,68.0,11.0,43.0,5.0,13.4,2787.0,2163.0,0.0,4.935,3.672
Fri Aug 18 21:44:10 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,315.0,26.6,274.5,278.5,88.5,24.3,0.14,11.0,100.0,278.76,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,274.4,30.0,27.0,28.0,0.0,0.0,140.0,111.0,3.871,3.927,3.919,3.957,3.989,3.979,1.68,3.28,2.0,68.0,57.0,43.0,29.0,43.0,5.0,13.5,2690.0,2152.0,0.0,4.525,3.672
Fri Aug 18 21:44:11 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,315.0,2.9,278.0,278.3,88.5,24.3,0.14,11.0,100.0,277.92,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,278.0,30.0,27.0,28.0,0.0,0.0,140.0,111.0,3.962,3.976,3.972,3.968,3.987,3.979,1.68,3.28,2.0,68.0,57.0,21.0,20.0,43.0,5.0,13.3,2054.0,2052.0,0.0,4.581,3.672
