Time,Event Status,Is-Ready Power Status,Is-Charging Power Status,Multi-Purpose Input Status,Always-On Power Status,Errors Present,Charge-Enable Output Active,Discharge-Enable Output Active,Charger-Safety Output Active,HEM mode,Maximum cell number,Pack charge current limit,Pack discharge current limit,Pack amperage (current),Pack voltage,Pack open voltage,Pack state of charge,Pack amphours,Pack resistance,Pack depth of discharge,Pack state of health,Summed pack voltage,Total pack cycles,DCL Reduced Due To SOC,DCL Reduced Due To Cell Resistance,DCL Reduced Due To Temperature,DCL Reduced Due To Cell Voltage,DCL Reduced Due To Pack Voltage,Reduced Due To Voltage Failsafe,Multi-Unit Comm Failsafe,CCL Reduced Due To SOC,CCL Reduced Due To Cell Resistance,CCL Reduced Due To Temperature,CCL Reduced Due To Cell Voltage,CCL Reduced Due To Pack Voltage,CCL Zero Because Charge Complete,Simulated pack SOC,Battery mode,Requested battery mode,TP ADC,Highest battery temperature,Lowest battery temperature,Average battery temperature,Actual fan speed (0-6),Requested fan speed (0-6),Highest thermistor ID,Lowest thermistor ID,Lowest cell voltage,Highest cell voltage,Average cell voltage,Lowest open cell voltage,Highest open cell voltage,Average open cell voltage,Lowest cell resistance,Highest cell resistance,Average cell resistance,Highest cell voltage ID,Lowest cell voltage ID,Highest opencell ID,Lowest opencell ID,Highest resistance ID,Lowest resistance ID,12v supply (lower than actual),Current sensor ADC #1,Current sensor ADC #2,Voltage from fan sensor,Shortest Wave (Isolation),Average Wave (Isolation)
Sat Aug 19 20:43:38 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,204.0,0.0,266.9,266.9,66.5,18.3,0.364,33.0,100.0,267.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,266.9,32.0,30.0,31.0,0.0,0.0,131.0,111.0,3.779,3.818,3.814,3.779,3.818,3.814,5.2,5.2,5.2,19.0,51.0,19.0,51.0,1.0,1.0,13.0,2051.0,2051.0,0.0,4.371,4.99
Sat Aug 19 20:43:39 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,204.0,0.0,266.9,266.9,66.5,18.3,0.364,33.0,100.0,267.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,267.0,32.0,30.0,31.0,0.0,0.0,131.0,111.0,3.779,3.818,3.814,3.779,3.818,3.814,5.2,5.2,5.2,19.0,51.0,19.0,51.0,1.0,1.0,13.0,2051.0,2052.0,0.0,4.575,4.964
Sat Aug 19 20:43:40 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,205.0,0.0,266.9,267.0,66.5,18.3,0.364,33.0,100.0,266.99,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,267.0,32.0,30.0,31.0,0.0,0.0,131.0,111.0,3.779,3.818,3.814,3.779,3.818,3.814,5.2,5.2,5.2,19.0,51.0,19.0,51.0,1.0,1.0,12.9,2051.0,2051.0,0.0,4.667,4.938
Sat Aug 19 20:43:41 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,205.0,0.0,266.9,267.0,66.5,18.3,0.364,33.0,100.0,266.99,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,266.9,32.0,30.0,31.0,0.0,0.0,131.0,111.0,3.779,3.818,3.814,3.779,3.818,3.814,5.2,5.2,5.2,19.0,51.0,19.0,51.0,1.0,1.0,13.0,2052.0,2051.0,0.0,4.667,4.938
Sat Aug 19 20:43:42 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,205.0,0.0,266.9,267.0,66.5,18.3,0.364,33.0,100.0,266.99,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,266.9,32.0,30.0,31.0,0.0,0.0,131.0,111.0,3.779,3.818,3.814,3.779,3.818,3.814,5.2,5.2,5.2,19.0,51.0,19.0,51.0,1.0,1.0,12.7,2051.0,2051.0,0.0,4.834,4.929
Sat Aug 19 20:43:43 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,204.0,0.0,266.9,266.9,66.5,18.3,0.364,33.0,100.0,266.99,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,267.0,32.0,30.0,31.0,0.0,0.0,131.0,111.0,3.779,3.818,3.814,3.779,3.818,3.814,5.2,5.2,5.2,19.0,51.0,19.0,51.0,1.0,1.0,12.9,2051.0,2051.0,0.0,4.834,4.929
Sat Aug 19 20:43:44 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,204.0,0.0,266.9,266.9,66.5,18.3,0.364,33.0,100.0,267.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,267.0,32.0,30.0,31.0,0.0,0.0,131.0,111.0,3.779,3.818,3.814,3.779,3.818,3.814,5.2,5.2,5.2,19.0,51.0,19.0,51.0,1.0,1.0,12.9,2051.0,2051.0,0.0,4.834,4.929
Sat Aug 19 20:43:45 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,204.0,0.0,266.9,266.9,66.5,18.3,0.364,33.0,100.0,267.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,266.9,32.0,30.0,31.0,0.0,0.0,131.0,111.0,3.779,3.818,3.814,3.779,3.818,3.814,5.2,5.2,5.2,19.0,51.0,19.0,51.0,1.0,1.0,13.0,2051.0,2051.0,0.0,4.834,4.929
Sat Aug 19 20:43:46 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,205.0,0.0,266.9,267.0,66.5,18.3,0.364,33.0,100.0,266.99,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,266.9,32.0,30.0,31.0,0.0,0.0,131.0,111.0,3.779,3.818,3.814,3.779,3.818,3.814,5.2,5.2,5.2,19.0,51.0,19.0,51.0,1.0,1.0,12.9,2054.0,2052.0,0.0,4.834,4.929
Sat Aug 19 20:43:47 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,205.0,0.0,266.9,267.0,66.5,18.3,0.364,33.0,100.0,266.99,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,266.9,32.0,30.0,31.0,0.0,0.0,131.0,111.0,3.779,3.818,3.814,3.779,3.819,3.815,5.2,5.2,5.2,19.0,51.0,19.0,51.0,1.0,1.0,13.0,2054.0,2052.0,0.0,4.385,4.9
