Time,Event Status,Is-Ready Power Status,Is-Charging Power Status,Multi-Purpose Input Status,Always-On Power Status,Errors Present,Charge-Enable Output Active,Discharge-Enable Output Active,Charger-Safety Output Active,HEM mode,Maximum cell number,Pack charge current limit,Pack discharge current limit,Pack amperage (current),Pack voltage,Pack open voltage,Pack state of charge,Pack amphours,Pack resistance,Pack depth of discharge,Pack state of health,Summed pack voltage,Total pack cycles,DCL Reduced Due To SOC,DCL Reduced Due To Cell Resistance,DCL Reduced Due To Temperature,DCL Reduced Due To Cell Voltage,DCL Reduced Due To Pack Voltage,Reduced Due To Voltage Failsafe,Multi-Unit Comm Failsafe,CCL Reduced Due To SOC,CCL Reduced Due To Cell Resistance,CCL Reduced Due To Temperature,CCL Reduced Due To Cell Voltage,CCL Reduced Due To Pack Voltage,CCL Zero Because Charge Complete,Simulated pack SOC,Battery mode,Requested battery mode,TP ADC,Highest battery temperature,Lowest battery temperature,Average battery temperature,Actual fan speed (0-6),Requested fan speed (0-6),Highest thermistor ID,Lowest thermistor ID,Lowest cell voltage,Highest cell voltage,Average cell voltage,Lowest open cell voltage,Highest open cell voltage,Average open cell voltage,Lowest cell resistance,Highest cell resistance,Average cell resistance,Highest cell voltage ID,Lowest cell voltage ID,Highest opencell ID,Lowest opencell ID,Highest resistance ID,Lowest resistance ID,12v supply (lower than actual),Current sensor ADC #1,Current sensor ADC #2,Voltage from fan sensor,Shortest Wave (Isolation),Average Wave (Isolation)
Sat Aug 19 16:27:13 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,215.0,0.0,270.6,270.6,70.5,19.4,0.364,29.0,100.0,270.67,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,270.6,33.0,32.0,32.0,0.0,0.0,104.0,131.0,3.845,3.869,3.867,3.845,3.869,3.867,5.2,5.2,5.2,19.0,51.0,26.0,51.0,1.0,1.0,13.6,2052.0,2051.0,0.0,4.46,4.965
Sat Aug 19 16:27:14 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,215.0,0.0,270.6,270.6,70.5,19.4,0.364,29.0,100.0,270.67,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,270.6,33.0,32.0,32.0,0.0,0.0,104.0,131.0,3.845,3.869,3.867,3.845,3.869,3.867,5.2,5.2,5.2,19.0,51.0,26.0,51.0,1.0,1.0,13.6,2051.0,2051.0,0.0,5.0,4.947
Sat Aug 19 16:27:15 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,215.0,0.0,270.6,270.6,70.5,19.4,0.364,29.0,100.0,270.67,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,270.6,33.0,32.0,32.0,0.0,0.0,104.0,131.0,3.845,3.869,3.867,3.845,3.869,3.867,5.2,5.2,5.2,26.0,51.0,19.0,51.0,1.0,1.0,13.6,2051.0,2051.0,0.0,4.519,4.921
Sat Aug 19 16:27:16 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,215.0,0.0,270.6,270.6,70.5,19.4,0.364,29.0,100.0,270.67,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,270.6,33.0,32.0,32.0,0.0,0.0,104.0,131.0,3.845,3.869,3.867,3.845,3.869,3.867,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,13.6,2051.0,2051.0,0.0,4.575,4.895
Sat Aug 19 16:27:17 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,215.0,0.0,270.6,270.6,70.5,19.4,0.364,29.0,100.0,270.67,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,270.6,33.0,32.0,32.0,0.0,0.0,104.0,131.0,3.845,3.868,3.867,3.846,3.869,3.867,5.2,5.2,5.2,19.0,51.0,19.0,51.0,1.0,1.0,13.6,2053.0,2052.0,0.0,4.474,4.868
Sat Aug 19 16:27:18 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,215.0,0.0,270.6,270.6,70.5,19.4,0.364,29.0,100.0,270.65,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,270.6,33.0,32.0,32.0,0.0,0.0,104.0,131.0,3.845,3.868,3.867,3.846,3.869,3.867,5.2,5.2,5.2,19.0,51.0,19.0,51.0,1.0,1.0,13.6,2054.0,2052.0,0.0,4.608,4.842
Sat Aug 19 16:27:19 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,215.0,0.0,270.6,270.6,70.5,19.4,0.364,29.0,100.0,270.65,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,270.6,33.0,32.0,32.0,0.0,0.0,104.0,131.0,3.845,3.868,3.867,3.846,3.869,3.867,5.2,5.2,5.2,19.0,51.0,26.0,51.0,1.0,1.0,13.5,2054.0,2052.0,0.0,4.608,4.842
Sat Aug 19 16:27:20 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,215.0,0.0,270.6,270.6,70.5,19.4,0.364,29.0,100.0,270.65,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,270.6,33.0,32.0,32.0,0.0,0.0,104.0,131.0,3.845,3.868,3.867,3.846,3.869,3.867,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,13.6,2054.0,2052.0,0.0,4.608,4.842
Sat Aug 19 16:27:21 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,215.0,0.0,270.6,270.6,70.5,19.4,0.364,29.0,100.0,270.65,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,270.6,33.0,32.0,32.0,0.0,0.0,104.0,131.0,3.845,3.868,3.867,3.846,3.869,3.867,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,13.6,2054.0,2052.0,0.0,4.608,4.842
Sat Aug 19 16:27:22 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,215.0,0.0,270.6,270.6,70.5,19.4,0.364,29.0,100.0,270.65,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,270.6,33.0,32.0,32.0,0.0,0.0,104.0,131.0,3.845,3.868,3.867,3.846,3.869,3.867,5.2,5.2,5.2,26.0,51.0,47.0,51.0,1.0,1.0,13.5,2054.0,2052.0,0.0,4.608,4.842
Sat Aug 19 16:27:23 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,215.0,0.0,270.6,270.6,70.5,19.4,0.364,29.0,100.0,270.65,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,270.6,33.0,32.0,32.0,0.0,0.0,104.0,131.0,3.845,3.868,3.867,3.846,3.869,3.867,5.2,5.2,5.2,19.0,51.0,19.0,51.0,1.0,1.0,13.6,2054.0,2052.0,0.0,4.608,4.842
Sat Aug 19 16:27:24 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,215.0,0.0,270.6,270.6,70.5,19.4,0.364,29.0,100.0,270.65,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,270.6,33.0,32.0,32.0,0.0,0.0,104.0,131.0,3.845,3.868,3.867,3.846,3.869,3.867,5.2,5.2,5.2,26.0,51.0,19.0,51.0,1.0,1.0,13.5,2054.0,2051.0,0.0,4.659,4.816
Sat Aug 19 16:27:25 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,215.0,0.0,270.6,270.6,70.5,19.4,0.364,29.0,100.0,270.65,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,270.6,33.0,32.0,32.0,0.0,0.0,104.0,131.0,3.845,3.868,3.867,3.846,3.869,3.867,5.2,5.2,5.2,19.0,51.0,26.0,51.0,1.0,1.0,13.5,2054.0,2052.0,0.0,4.642,4.79
Sat Aug 19 16:27:26 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,215.0,0.0,270.6,270.6,70.5,19.4,0.364,29.0,100.0,270.65,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,270.6,33.0,32.0,32.0,0.0,0.0,104.0,131.0,3.845,3.868,3.867,3.846,3.869,3.867,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,13.5,2054.0,2052.0,0.0,4.626,4.773
Sat Aug 19 16:27:27 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,215.0,0.0,270.6,270.6,70.5,19.4,0.364,29.0,100.0,270.65,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,270.6,33.0,32.0,32.0,0.0,0.0,104.0,131.0,3.845,3.868,3.866,3.846,3.869,3.867,5.2,5.2,5.2,26.0,51.0,19.0,51.0,1.0,1.0,13.6,2054.0,2052.0,0.0,4.626,4.773
