Time,Event Status,Is-Ready Power Status,Is-Charging Power Status,Multi-Purpose Input Status,Always-On Power Status,Errors Present,Charge-Enable Output Active,Discharge-Enable Output Active,Charger-Safety Output Active,HEM mode,Maximum cell number,Pack charge current limit,Pack discharge current limit,Pack amperage (current),Pack voltage,Pack open voltage,Pack state of charge,Pack amphours,Pack resistance,Pack depth of discharge,Pack state of health,Summed pack voltage,Total pack cycles,DCL Reduced Due To SOC,DCL Reduced Due To Cell Resistance,DCL Reduced Due To Temperature,DCL Reduced Due To Cell Voltage,DCL Reduced Due To Pack Voltage,Reduced Due To Voltage Failsafe,Multi-Unit Comm Failsafe,CCL Reduced Due To SOC,CCL Reduced Due To Cell Resistance,CCL Reduced Due To Temperature,CCL Reduced Due To Cell Voltage,CCL Reduced Due To Pack Voltage,CCL Zero Because Charge Complete,Simulated pack SOC,Battery mode,Requested battery mode,TP ADC,Highest battery temperature,Lowest battery temperature,Average battery temperature,Actual fan speed (0-6),Requested fan speed (0-6),Highest thermistor ID,Lowest thermistor ID,Lowest cell voltage,Highest cell voltage,Average cell voltage,Lowest open cell voltage,Highest open cell voltage,Average open cell voltage,Lowest cell resistance,Highest cell resistance,Average cell resistance,Highest cell voltage ID,Lowest cell voltage ID,Highest opencell ID,Lowest opencell ID,Highest resistance ID,Lowest resistance ID,12v supply (lower than actual),Current sensor ADC #1,Current sensor ADC #2,Voltage from fan sensor,Shortest Wave (Isolation),Average Wave (Isolation)
Thu Aug 17 22:28:32 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,315.0,0.0,276.8,276.8,72.5,19.9,0.131,63.0,100.0,276.86,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,276.8,32.0,30.0,31.0,0.0,0.0,139.0,111.0,3.95,3.958,3.955,3.951,3.958,3.955,1.7,3.08,1.88,26.0,57.0,26.0,57.0,57.0,56.0,13.0,2054.0,2052.0,0.0,4.595,3.686
Thu Aug 17 22:28:33 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,315.0,0.4,276.7,276.8,72.5,19.9,0.131,63.0,100.0,276.86,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,276.8,32.0,30.0,31.0,0.0,0.0,131.0,111.0,3.95,3.957,3.955,3.951,3.958,3.955,1.7,3.08,1.88,26.0,57.0,26.0,57.0,57.0,56.0,13.0,2054.0,2052.0,0.0,4.595,3.686
Thu Aug 17 22:28:34 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,315.0,0.3,276.7,276.8,72.5,19.9,0.131,63.0,100.0,276.85,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,276.8,32.0,30.0,31.0,0.0,0.0,131.0,111.0,3.95,3.958,3.955,3.951,3.958,3.955,1.7,3.08,1.88,26.0,57.0,26.0,57.0,57.0,56.0,13.0,2054.0,2052.0,0.0,4.606,3.686
Thu Aug 17 22:28:35 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,315.0,0.7,276.7,276.8,72.5,19.9,0.131,63.0,100.0,276.65,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,276.6,32.0,30.0,31.0,0.0,0.0,131.0,111.0,3.95,3.958,3.955,3.951,3.958,3.955,1.7,3.08,1.88,26.0,57.0,26.0,57.0,57.0,56.0,13.0,2054.0,2052.0,0.0,4.615,3.686
Thu Aug 17 22:28:36 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,315.0,4.5,276.1,276.8,72.5,19.9,0.131,63.0,100.0,276.02,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,276.6,32.0,30.0,31.0,0.0,0.0,131.0,111.0,3.943,3.953,3.95,3.951,3.958,3.955,1.7,3.08,1.88,26.0,57.0,26.0,57.0,57.0,56.0,13.0,2171.0,2069.0,0.0,4.615,3.686
Thu Aug 17 22:28:37 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,315.0,7.2,275.7,276.7,72.5,19.9,0.131,63.0,100.0,276.02,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,275.8,32.0,30.0,31.0,0.0,0.0,131.0,111.0,3.927,3.944,3.941,3.951,3.956,3.954,1.7,3.08,1.88,26.0,57.0,26.0,57.0,57.0,56.0,13.0,2219.0,2076.0,0.0,4.615,3.686
Thu Aug 17 22:28:38 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,315.0,6.2,275.8,276.7,72.5,19.9,0.131,63.0,100.0,275.73,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,275.9,32.0,30.0,31.0,0.0,0.0,139.0,111.0,3.937,3.949,3.947,3.949,3.955,3.952,1.7,3.08,1.88,26.0,57.0,26.0,57.0,57.0,56.0,13.0,2155.0,2068.0,0.0,4.615,3.686
Thu Aug 17 22:28:39 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,315.0,34.3,271.8,276.5,72.5,19.9,0.131,63.0,100.0,273.22,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,272.4,32.0,30.0,31.0,0.0,0.0,139.0,111.0,3.821,3.867,3.858,3.945,3.963,3.95,1.7,3.08,1.88,60.0,57.0,57.0,13.0,57.0,56.0,13.0,3186.0,2224.0,0.0,4.615,3.686
Thu Aug 17 22:28:40 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,315.0,43.5,270.1,276.2,72.5,19.9,0.135,63.0,100.0,269.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,271.3,32.0,30.0,31.0,0.0,0.0,139.0,111.0,3.824,3.878,3.87,3.93,3.947,3.942,1.77,3.1,1.93,28.0,29.0,19.0,57.0,57.0,56.0,13.0,3381.0,2224.0,0.0,4.615,3.686
Thu Aug 17 22:28:41 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,315.0,36.5,270.5,275.8,72.5,19.9,0.135,63.0,100.0,273.51,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,273.7,32.0,30.0,31.0,0.0,0.0,139.0,111.0,3.817,3.872,3.858,3.927,3.942,3.938,1.77,3.1,1.93,28.0,29.0,19.0,57.0,57.0,56.0,13.0,3381.0,2224.0,0.0,4.615,3.685
Thu Aug 17 22:28:42 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,315.0,91.5,263.0,275.4,72.0,19.9,0.141,63.0,100.0,257.78,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,257.4,32.0,30.0,31.0,0.0,0.0,139.0,111.0,3.817,3.872,3.858,3.927,3.942,3.938,1.77,3.1,1.93,56.0,43.0,26.0,29.0,57.0,56.0,13.0,3322.0,2251.0,0.0,4.979,3.683
