Time,Event Status,Is-Ready Power Status,Is-Charging Power Status,Multi-Purpose Input Status,Always-On Power Status,Errors Present,Charge-Enable Output Active,Discharge-Enable Output Active,Charger-Safety Output Active,HEM mode,Maximum cell number,Pack charge current limit,Pack discharge current limit,Pack amperage (current),Pack voltage,Pack open voltage,Pack state of charge,Pack amphours,Pack resistance,Pack depth of discharge,Pack state of health,Summed pack voltage,Total pack cycles,DCL Reduced Due To SOC,DCL Reduced Due To Cell Resistance,DCL Reduced Due To Temperature,DCL Reduced Due To Cell Voltage,DCL Reduced Due To Pack Voltage,Reduced Due To Voltage Failsafe,Multi-Unit Comm Failsafe,CCL Reduced Due To SOC,CCL Reduced Due To Cell Resistance,CCL Reduced Due To Temperature,CCL Reduced Due To Cell Voltage,CCL Reduced Due To Pack Voltage,CCL Zero Because Charge Complete,Simulated pack SOC,Battery mode,Requested battery mode,TP ADC,Highest battery temperature,Lowest battery temperature,Average battery temperature,Actual fan speed (0-6),Requested fan speed (0-6),Highest thermistor ID,Lowest thermistor ID,Lowest cell voltage,Highest cell voltage,Average cell voltage,Lowest open cell voltage,Highest open cell voltage,Average open cell voltage,Lowest cell resistance,Highest cell resistance,Average cell resistance,Highest cell voltage ID,Lowest cell voltage ID,Highest opencell ID,Lowest opencell ID,Highest resistance ID,Lowest resistance ID,12v supply (lower than actual),Current sensor ADC #1,Current sensor ADC #2,Voltage from fan sensor,Shortest Wave (Isolation),Average Wave (Isolation)
Sun Aug 20 17:34:31 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,42.0,154.0,0.0,249.0,249.0,0.0,0.0,0.363,67.5,100.0,249.02,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,12.0,249.0,36.0,34.0,35.0,0.0,0.0,130.0,110.0,3.46,3.563,3.558,3.46,3.563,3.557,5.19,5.19,5.19,19.0,51.0,19.0,51.0,1.0,1.0,12.4,2051.0,2051.0,0.0,4.371,4.99
Sun Aug 20 17:34:32 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,42.0,154.0,0.0,249.0,249.0,0.0,0.0,0.363,67.5,100.0,249.02,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,12.0,249.0,36.0,34.0,35.0,0.0,0.0,130.0,110.0,3.46,3.563,3.558,3.46,3.563,3.558,5.19,5.19,5.19,19.0,51.0,19.0,51.0,1.0,1.0,12.4,2051.0,2051.0,0.0,4.575,4.964
Sun Aug 20 17:34:33 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,42.0,154.0,0.0,249.0,249.0,0.0,0.0,0.363,67.5,100.0,249.03,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,12.0,249.0,36.0,34.0,35.0,0.0,0.0,130.0,110.0,3.46,3.563,3.558,3.46,3.563,3.558,5.19,5.19,5.19,19.0,51.0,19.0,51.0,1.0,1.0,12.4,2051.0,2052.0,0.0,4.664,4.938
Sun Aug 20 17:34:34 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,42.0,154.0,0.0,249.0,249.0,0.0,0.0,0.363,67.5,100.0,249.03,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,12.0,249.0,36.0,34.0,35.0,0.0,0.0,130.0,110.0,3.46,3.563,3.558,3.46,3.563,3.558,5.19,5.19,5.19,19.0,51.0,19.0,51.0,1.0,1.0,12.4,2051.0,2051.0,0.0,4.704,4.912
Sun Aug 20 17:34:35 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,42.0,154.0,0.0,249.0,249.0,0.0,0.0,0.363,67.5,100.0,249.03,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,12.0,249.0,36.0,34.0,35.0,0.0,0.0,130.0,110.0,3.46,3.563,3.558,3.46,3.563,3.558,5.19,5.19,5.19,19.0,51.0,19.0,51.0,1.0,1.0,12.4,2050.0,2051.0,0.0,4.713,4.894
Sun Aug 20 17:34:36 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,42.0,154.0,0.0,249.0,249.0,0.0,0.0,0.363,67.5,100.0,249.03,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,12.0,249.0,36.0,34.0,35.0,0.0,0.0,130.0,110.0,3.46,3.563,3.558,3.46,3.563,3.558,5.19,5.19,5.19,19.0,51.0,19.0,51.0,1.0,1.0,12.4,2051.0,2051.0,0.0,5.0,4.868
Sun Aug 20 17:34:37 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,42.0,154.0,0.0,249.0,249.0,0.0,0.0,0.363,67.5,100.0,249.03,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,12.0,249.0,36.0,34.0,35.0,0.0,0.0,130.0,110.0,3.46,3.563,3.558,3.46,3.563,3.558,5.19,5.19,5.19,19.0,51.0,19.0,51.0,1.0,1.0,12.4,2051.0,2051.0,0.0,5.0,4.868
Sun Aug 20 17:34:38 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,42.0,154.0,0.0,249.0,249.0,0.0,0.0,0.363,67.5,100.0,249.03,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,12.0,249.0,36.0,34.0,35.0,0.0,0.0,130.0,110.0,3.46,3.563,3.558,3.46,3.563,3.558,5.19,5.19,5.19,19.0,51.0,19.0,51.0,1.0,1.0,12.4,2051.0,2051.0,0.0,5.0,4.868
Sun Aug 20 17:34:39 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,42.0,154.0,0.0,249.0,249.0,0.0,0.0,0.363,67.5,100.0,249.03,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,12.0,249.0,36.0,34.0,35.0,0.0,0.0,130.0,110.0,3.46,3.563,3.558,3.46,3.563,3.558,5.19,5.19,5.19,19.0,51.0,19.0,51.0,1.0,1.0,12.4,2051.0,2052.0,0.0,5.0,4.868
Sun Aug 20 17:34:40 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,42.0,154.0,0.0,249.0,249.0,0.0,0.0,0.363,67.5,100.0,249.03,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,12.0,249.0,36.0,34.0,35.0,0.0,0.0,130.0,110.0,3.46,3.563,3.558,3.46,3.563,3.558,5.19,5.19,5.19,19.0,51.0,19.0,51.0,1.0,1.0,12.4,2051.0,2051.0,0.0,5.0,4.868
