Time,Event Status,Is-Ready Power Status,Is-Charging Power Status,Multi-Purpose Input Status,Always-On Power Status,Errors Present,Charge-Enable Output Active,Discharge-Enable Output Active,Charger-Safety Output Active,HEM mode,Maximum cell number,Pack charge current limit,Pack discharge current limit,Pack amperage (current),Pack voltage,Pack open voltage,Pack state of charge,Pack amphours,Pack resistance,Pack depth of discharge,Pack state of health,Summed pack voltage,Total pack cycles,DCL Reduced Due To SOC,DCL Reduced Due To Cell Resistance,DCL Reduced Due To Temperature,DCL Reduced Due To Cell Voltage,DCL Reduced Due To Pack Voltage,Reduced Due To Voltage Failsafe,Multi-Unit Comm Failsafe,CCL Reduced Due To SOC,CCL Reduced Due To Cell Resistance,CCL Reduced Due To Temperature,CCL Reduced Due To Cell Voltage,CCL Reduced Due To Pack Voltage,CCL Zero Because Charge Complete,Simulated pack SOC,Battery mode,Requested battery mode,TP ADC,Highest battery temperature,Lowest battery temperature,Average battery temperature,Actual fan speed (0-6),Requested fan speed (0-6),Highest thermistor ID,Lowest thermistor ID,Lowest cell voltage,Highest cell voltage,Average cell voltage,Lowest open cell voltage,Highest open cell voltage,Average open cell voltage,Lowest cell resistance,Highest cell resistance,Average cell resistance,Highest cell voltage ID,Lowest cell voltage ID,Highest opencell ID,Lowest opencell ID,Highest resistance ID,Lowest resistance ID,12v supply (lower than actual),Current sensor ADC #1,Current sensor ADC #2,Voltage from fan sensor,Shortest Wave (Isolation),Average Wave (Isolation)
Fri Aug 18 21:55:34 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,29.0,241.0,0.0,280.7,280.7,88.5,24.3,0.364,11.0,100.0,280.71,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,280.7,30.0,28.0,29.0,0.0,0.0,139.0,111.0,4.004,4.014,4.01,4.004,4.014,4.01,5.2,5.2,5.2,51.0,57.0,51.0,57.0,1.0,1.0,13.6,2051.0,2052.0,0.0,4.347,4.99
Fri Aug 18 21:55:35 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,29.0,241.0,0.0,280.7,280.7,88.5,24.3,0.364,11.0,100.0,280.72,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,280.7,30.0,28.0,29.0,0.0,0.0,139.0,111.0,4.004,4.014,4.01,4.004,4.014,4.011,5.2,5.2,5.2,51.0,57.0,51.0,57.0,1.0,1.0,13.6,2052.0,2052.0,0.0,4.347,4.99
Fri Aug 18 21:55:36 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,29.0,240.0,0.0,280.7,280.7,88.5,24.3,0.364,11.0,100.0,280.72,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,280.7,30.0,28.0,29.0,0.0,0.0,139.0,111.0,4.004,4.014,4.01,4.004,4.014,4.01,5.2,5.2,5.2,51.0,57.0,51.0,57.0,1.0,1.0,13.6,2052.0,2052.0,0.0,4.347,4.99
Fri Aug 18 21:55:37 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,29.0,240.0,0.0,280.7,280.7,88.5,24.3,0.364,11.0,100.0,280.72,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,280.7,30.0,28.0,29.0,0.0,0.0,139.0,111.0,4.004,4.014,4.01,4.004,4.014,4.01,5.2,5.2,5.2,51.0,57.0,51.0,57.0,1.0,1.0,13.6,2051.0,2052.0,0.0,4.347,4.99
Fri Aug 18 21:55:38 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,29.0,240.0,0.0,280.7,280.7,88.5,24.3,0.364,11.0,100.0,280.72,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,280.7,30.0,28.0,29.0,0.0,0.0,139.0,111.0,4.004,4.014,4.01,4.004,4.014,4.01,5.2,5.2,5.2,51.0,57.0,51.0,57.0,1.0,1.0,13.5,2054.0,2052.0,0.0,4.347,4.99
Fri Aug 18 21:55:39 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,29.0,241.0,0.0,280.7,280.7,88.5,24.3,0.364,11.0,100.0,280.71,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,280.7,30.0,28.0,29.0,0.0,0.0,139.0,111.0,4.004,4.014,4.01,4.004,4.014,4.011,5.2,5.2,5.2,51.0,57.0,51.0,57.0,1.0,1.0,13.5,2054.0,2051.0,0.0,4.275,4.97
Fri Aug 18 21:55:40 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,29.0,241.0,0.0,280.7,280.7,88.5,24.3,0.364,11.0,100.0,280.71,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,280.7,30.0,28.0,29.0,0.0,0.0,139.0,111.0,4.003,4.014,4.01,4.004,4.015,4.011,5.2,5.2,5.2,51.0,57.0,51.0,57.0,1.0,1.0,13.5,2054.0,2051.0,0.0,4.275,4.97
Fri Aug 18 21:55:41 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,29.0,241.0,1.2,280.5,280.8,88.5,24.3,0.364,11.0,100.0,280.49,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,280.4,30.0,28.0,29.0,0.0,0.0,139.0,111.0,3.997,4.009,4.01,4.004,4.015,4.011,5.2,5.2,5.2,51.0,57.0,51.0,57.0,1.0,1.0,13.5,2054.0,2052.0,0.0,4.447,4.942
Fri Aug 18 21:55:42 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,23.0,244.0,12.9,278.8,283.4,88.5,24.3,0.364,11.0,100.0,278.14,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,276.4,30.0,28.0,29.0,0.0,0.0,139.0,111.0,3.997,4.009,4.01,4.004,4.015,4.011,5.2,5.2,5.2,51.0,57.0,51.0,57.0,1.0,1.0,13.5,2263.0,2085.0,0.0,4.519,4.915
Fri Aug 18 21:55:43 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,1.0,251.0,59.0,271.9,292.7,88.5,24.3,0.364,11.0,100.0,269.29,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,276.4,30.0,28.0,29.0,0.0,0.0,139.0,111.0,3.838,3.926,3.917,4.052,4.124,4.114,5.2,5.2,5.2,37.0,15.0,31.0,57.0,1.0,1.0,13.5,3244.0,2234.0,0.0,4.782,4.889
