Time,Event Status,Is-Ready Power Status,Is-Charging Power Status,Multi-Purpose Input Status,Always-On Power Status,Errors Present,Charge-Enable Output Active,Discharge-Enable Output Active,Charger-Safety Output Active,HEM mode,Maximum cell number,Pack charge current limit,Pack discharge current limit,Pack amperage (current),Pack voltage,Pack open voltage,Pack state of charge,Pack amphours,Pack resistance,Pack depth of discharge,Pack state of health,Summed pack voltage,Total pack cycles,DCL Reduced Due To SOC,DCL Reduced Due To Cell Resistance,DCL Reduced Due To Temperature,DCL Reduced Due To Cell Voltage,DCL Reduced Due To Pack Voltage,Reduced Due To Voltage Failsafe,Multi-Unit Comm Failsafe,CCL Reduced Due To SOC,CCL Reduced Due To Cell Resistance,CCL Reduced Due To Temperature,CCL Reduced Due To Cell Voltage,CCL Reduced Due To Pack Voltage,CCL Zero Because Charge Complete,Simulated pack SOC,Battery mode,Requested battery mode,TP ADC,Highest battery temperature,Lowest battery temperature,Average battery temperature,Actual fan speed (0-6),Requested fan speed (0-6),Highest thermistor ID,Lowest thermistor ID,Lowest cell voltage,Highest cell voltage,Average cell voltage,Lowest open cell voltage,Highest open cell voltage,Average open cell voltage,Lowest cell resistance,Highest cell resistance,Average cell resistance,Highest cell voltage ID,Lowest cell voltage ID,Highest opencell ID,Lowest opencell ID,Highest resistance ID,Lowest resistance ID,12v supply (lower than actual),Current sensor ADC #1,Current sensor ADC #2,Voltage from fan sensor,Shortest Wave (Isolation),Average Wave (Isolation)
Sat Aug 19 15:22:52 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,221.0,0.0,272.6,272.6,74.5,20.5,0.364,25.0,100.0,272.68,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,272.6,31.0,30.0,30.0,0.0,0.0,104.0,123.0,3.885,3.897,3.895,3.884,3.897,3.895,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,14.4,2051.0,2052.0,0.0,0.0,4.99
Sat Aug 19 15:22:53 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,221.0,0.0,272.6,272.6,74.5,20.5,0.364,25.0,100.0,272.68,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,272.6,31.0,30.0,30.0,0.0,0.0,104.0,123.0,3.885,3.897,3.895,3.884,3.897,3.895,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,14.4,2051.0,2051.0,0.0,4.516,4.972
Sat Aug 19 15:22:54 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,221.0,0.0,272.6,272.6,74.5,20.5,0.364,25.0,100.0,272.68,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,272.6,31.0,30.0,30.0,0.0,0.0,104.0,123.0,3.884,3.897,3.895,3.884,3.897,3.895,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,14.4,2051.0,2051.0,0.0,4.632,4.946
Sat Aug 19 15:22:55 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,221.0,0.0,272.6,272.6,74.5,20.5,0.364,25.0,100.0,272.68,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,272.6,31.0,30.0,30.0,0.0,0.0,104.0,123.0,3.884,3.897,3.895,3.885,3.897,3.895,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,14.3,2051.0,2051.0,0.0,4.682,4.92
Sat Aug 19 15:22:56 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,221.0,0.0,272.6,272.6,74.5,20.5,0.364,25.0,100.0,272.68,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,272.6,31.0,30.0,30.0,0.0,0.0,104.0,123.0,3.884,3.897,3.895,3.884,3.897,3.895,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,14.4,2051.0,2051.0,0.0,4.704,4.894
Sat Aug 19 15:22:57 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,221.0,0.0,272.6,272.6,74.5,20.5,0.364,25.0,100.0,272.68,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,272.6,31.0,30.0,30.0,0.0,0.0,104.0,123.0,3.885,3.897,3.895,3.884,3.897,3.895,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,14.4,2051.0,2052.0,0.0,5.0,4.868
Sat Aug 19 15:22:58 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,221.0,0.0,272.6,272.6,74.5,20.5,0.364,25.0,100.0,272.68,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,272.6,31.0,30.0,30.0,0.0,0.0,104.0,123.0,3.885,3.897,3.895,3.884,3.897,3.895,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,14.4,2051.0,2052.0,0.0,5.0,4.868
Sat Aug 19 15:22:59 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,221.0,0.0,272.6,272.6,74.5,20.5,0.364,25.0,100.0,272.68,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,272.6,31.0,30.0,30.0,0.0,0.0,104.0,123.0,3.885,3.897,3.895,3.884,3.897,3.895,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,14.4,2051.0,2052.0,0.0,5.0,4.868
Sat Aug 19 15:23:00 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,221.0,0.0,272.6,272.6,74.5,20.5,0.364,25.0,100.0,272.68,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,272.6,31.0,30.0,30.0,0.0,0.0,104.0,123.0,3.885,3.897,3.895,3.884,3.897,3.895,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,14.4,2051.0,2052.0,0.0,5.0,4.868
Sat Aug 19 15:23:01 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,221.0,0.0,272.6,272.6,74.5,20.5,0.364,25.0,100.0,272.68,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,272.6,31.0,30.0,30.0,0.0,0.0,104.0,131.0,3.885,3.897,3.895,3.885,3.897,3.895,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,14.4,2051.0,2052.0,0.0,5.0,4.868
Sat Aug 19 15:23:02 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,221.0,0.0,272.6,272.6,74.5,20.5,0.364,25.0,100.0,272.68,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,272.6,31.0,30.0,30.0,0.0,0.0,104.0,123.0,3.885,3.897,3.895,3.884,3.897,3.895,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,14.3,2050.0,2051.0,0.0,4.793,4.86
Sat Aug 19 15:23:03 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,221.0,0.0,272.6,272.6,74.5,20.5,0.364,25.0,100.0,272.68,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,272.6,31.0,30.0,30.0,0.0,0.0,104.0,131.0,3.884,3.897,3.895,3.884,3.897,3.895,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,14.3,2051.0,2051.0,0.0,4.749,4.834
Sat Aug 19 15:23:04 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,221.0,0.0,272.6,272.6,74.5,20.5,0.364,25.0,100.0,272.68,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,272.6,31.0,30.0,30.0,0.0,0.0,104.0,131.0,3.885,3.897,3.895,3.885,3.897,3.895,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,14.4,2051.0,2052.0,0.0,4.734,4.808
Sat Aug 19 15:23:05 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,221.0,0.0,272.6,272.6,74.5,20.5,0.364,25.0,100.0,272.68,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,272.6,31.0,30.0,30.0,0.0,0.0,104.0,131.0,3.884,3.897,3.895,3.885,3.897,3.895,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,14.4,2051.0,2052.0,0.0,4.734,4.808
Sat Aug 19 15:23:06 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,221.0,0.0,272.6,272.6,74.5,20.5,0.364,25.0,100.0,272.68,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,272.6,31.0,30.0,30.0,0.0,0.0,104.0,131.0,3.884,3.897,3.895,3.885,3.897,3.895,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,14.3,2051.0,2051.0,0.0,4.729,4.799
Sat Aug 19 15:23:07 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,221.0,0.0,272.6,272.6,74.5,20.5,0.364,25.0,100.0,272.68,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,272.6,31.0,30.0,30.0,0.0,0.0,104.0,131.0,3.885,3.897,3.895,3.885,3.897,3.895,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,14.3,2051.0,2051.0,0.0,4.729,4.799
Sat Aug 19 15:23:08 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,221.0,0.0,272.6,272.6,74.5,20.5,0.364,25.0,100.0,272.68,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,272.6,31.0,30.0,30.0,0.0,0.0,104.0,131.0,3.885,3.897,3.895,3.885,3.897,3.895,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,14.3,2051.0,2051.0,0.0,4.342,4.789
Sat Aug 19 15:23:09 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,221.0,0.0,272.6,272.6,74.5,20.5,0.364,25.0,100.0,272.67,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,272.6,31.0,30.0,30.0,0.0,0.0,104.0,131.0,3.885,3.897,3.895,3.884,3.897,3.895,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,14.3,2051.0,2051.0,0.0,4.559,4.763
Sat Aug 19 15:23:10 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,221.0,0.0,272.6,272.6,74.5,20.5,0.364,25.0,100.0,272.67,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,272.6,31.0,30.0,30.0,0.0,0.0,104.0,131.0,3.885,3.897,3.895,3.884,3.897,3.895,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,14.3,2050.0,2051.0,0.0,4.653,4.737
Sat Aug 19 15:23:11 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,221.0,0.0,272.6,272.6,74.5,20.5,0.364,25.0,100.0,272.68,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,272.6,31.0,30.0,30.0,0.0,0.0,104.0,131.0,3.884,3.897,3.895,3.884,3.897,3.895,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,14.4,2051.0,2052.0,0.0,4.696,4.711
Sat Aug 19 15:23:12 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,221.0,0.0,272.6,272.6,74.5,20.5,0.364,25.0,100.0,272.67,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,272.6,31.0,30.0,30.0,0.0,0.0,104.0,131.0,3.885,3.897,3.895,3.884,3.897,3.895,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,14.3,2051.0,2051.0,0.0,4.709,4.711
Sat Aug 19 15:23:13 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,221.0,0.0,272.6,272.6,74.5,20.5,0.364,25.0,100.0,272.68,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,272.6,31.0,30.0,30.0,0.0,0.0,104.0,131.0,3.885,3.897,3.895,3.884,3.897,3.895,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,14.3,2051.0,2051.0,0.0,4.709,4.711
Sat Aug 19 15:23:14 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,221.0,0.0,272.6,272.6,74.5,20.5,0.364,25.0,100.0,272.68,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,272.6,31.0,30.0,30.0,0.0,0.0,104.0,131.0,3.885,3.897,3.895,3.884,3.897,3.895,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,14.3,2051.0,2052.0,0.0,4.713,4.676
Sat Aug 19 15:23:15 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,221.0,0.0,272.6,272.6,74.5,20.5,0.364,25.0,100.0,272.68,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,272.6,31.0,30.0,30.0,0.0,0.0,104.0,131.0,3.884,3.897,3.895,3.884,3.897,3.895,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,14.4,2051.0,2052.0,0.0,4.713,4.676
Sat Aug 19 15:23:16 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,221.0,0.0,272.6,272.6,74.5,20.5,0.364,25.0,100.0,272.68,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,272.6,31.0,30.0,30.0,0.0,0.0,104.0,131.0,3.885,3.897,3.895,3.885,3.897,3.895,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,14.4,2051.0,2051.0,0.0,4.713,4.676
Sat Aug 19 15:23:17 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,221.0,0.0,272.6,272.6,74.5,20.5,0.364,25.0,100.0,272.68,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,272.6,31.0,30.0,30.0,0.0,0.0,104.0,131.0,3.884,3.897,3.895,3.884,3.897,3.895,5.2,5.2,5.2,19.0,51.0,26.0,51.0,1.0,1.0,14.4,2051.0,2051.0,0.0,4.713,4.676
Sat Aug 19 15:23:18 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,221.0,0.0,272.6,272.6,74.5,20.5,0.364,25.0,100.0,272.68,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,272.6,31.0,30.0,30.0,0.0,0.0,104.0,131.0,3.885,3.897,3.895,3.884,3.897,3.895,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,14.4,2051.0,2052.0,0.0,4.769,4.659
Sat Aug 19 15:23:19 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,221.0,0.0,272.6,272.6,74.5,20.5,0.364,25.0,100.0,272.68,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,272.6,31.0,30.0,30.0,0.0,0.0,104.0,131.0,3.885,3.897,3.895,3.884,3.897,3.895,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,14.4,2051.0,2052.0,0.0,4.769,4.659
Sat Aug 19 15:23:20 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,221.0,0.0,272.6,272.6,74.5,20.5,0.364,25.0,100.0,272.68,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,272.6,31.0,30.0,30.0,0.0,0.0,104.0,131.0,3.885,3.897,3.895,3.884,3.897,3.895,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,14.4,2051.0,2052.0,0.0,4.742,4.633
Sat Aug 19 15:23:21 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,221.0,0.0,272.6,272.6,74.5,20.5,0.364,25.0,100.0,272.68,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,272.6,31.0,30.0,30.0,0.0,0.0,104.0,131.0,3.885,3.897,3.895,3.884,3.897,3.895,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,14.4,2050.0,2051.0,0.0,4.729,4.607
Sat Aug 19 15:23:22 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,221.0,0.0,272.6,272.6,74.5,20.5,0.364,25.0,100.0,272.68,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,272.6,31.0,30.0,30.0,0.0,0.0,104.0,131.0,3.884,3.897,3.895,3.885,3.897,3.895,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,14.3,2051.0,2051.0,0.0,4.729,4.607
Sat Aug 19 15:23:23 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,221.0,0.0,272.6,272.6,74.5,20.5,0.364,25.0,100.0,272.68,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,272.6,31.0,30.0,30.0,0.0,0.0,104.0,131.0,3.884,3.897,3.895,3.884,3.897,3.895,5.2,5.2,5.2,19.0,51.0,26.0,51.0,1.0,1.0,14.3,2050.0,2051.0,0.0,4.729,4.607
Sat Aug 19 15:23:24 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,221.0,0.0,272.6,272.6,74.5,20.5,0.364,25.0,100.0,272.68,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,272.6,31.0,30.0,30.0,0.0,0.0,104.0,131.0,3.884,3.897,3.895,3.885,3.897,3.895,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,14.3,2050.0,2052.0,0.0,4.519,4.58
Sat Aug 19 15:23:25 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,221.0,0.0,272.6,272.6,74.5,20.5,0.364,25.0,100.0,272.68,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,272.6,31.0,30.0,30.0,0.0,0.0,104.0,131.0,3.884,3.897,3.895,3.884,3.897,3.895,5.2,5.2,5.2,19.0,51.0,26.0,51.0,1.0,1.0,14.3,2050.0,2052.0,0.0,4.519,4.58
Sat Aug 19 15:23:26 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,221.0,0.0,272.6,272.6,74.5,20.5,0.364,25.0,100.0,272.68,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,272.6,31.0,30.0,30.0,0.0,0.0,104.0,131.0,3.884,3.897,3.895,3.885,3.897,3.895,5.2,5.2,5.2,19.0,51.0,26.0,51.0,1.0,1.0,14.3,2050.0,2052.0,0.0,4.519,4.58
